id,name,length
0,3QOM,109.32480971170033
1,L1OT,111.50155035993686
2,8SPS,111.50155035993686
3,D5,111.50155035993686
4,JQ,111.50155035993686
5,VW,85.86744863516235
6,AH,83.71440649490856
7,RJ,85.86744863516235
8,ZC,85.86744863516235
9,9N,83.71440649490856
10,LV,83.71440649490856
11,05,85.86744863516235
12,QP,83.71440649490856
13,XX,105.23233538819534
14,59,105.23233538819534
15,UJ,105.23233538819534
16,Q1,105.23233538819534
17,WS,111.50155035993686
18,UJ,109.32480971170033
19,UY,111.50155035993686
20,VS,111.50155035993686
21,6E,109.32480971170033
22,CY,109.32480971170033
23,TG,111.50155035993686
24,2J,109.32480971170033
25,R,85.86744863516235
26,Q,83.71440649490856
27,K,85.86744863516235
28,I,85.86744863516235
29,Q,83.71440649490856
30,C,83.71440649490856
31,6,85.86744863516235
32,Y,83.71440649490856
33,Y,105.23233538819534
34,E,105.23233538819534
35,X,105.23233538819534
36,K,105.23233538819534
37,G,111.50155035993686
38,A,109.32480971170033
39,C,111.50155035993686
40,K,111.50155035993686
41,2,109.32480971170033
42,Q,109.32480971170033
43,R,111.50155035993686
44,H,109.32480971170033
id,name,length
0,Y,109.32480971170033
1,I,109.32480971170033
2,6,111.50155035993686
3,6,109.32480971170033
id,name,length
0,DNRXB,111.50155035993686
1,3T9WY,111.50155035993686
2,DFI64,109.32480971170033
id,name,length
0,N,109.32480971170033
1,U,111.50155035993686
2,X,109.32480971170033
id,name,length
0,C4,109.32480971170033
1,UV,111.50155035993686
2,BT,111.50155035993686
