n run epoch loss acurracy epoch_duration run_duration batch_size epochs lr
0 1 1 17399.011862151496 0.26612142183076437 801.4918067455292 802.442785024643 1 20 0.1 
1 1 2 23641.38949403526 0.0 802.8575668334961 1605.4946377277374 1 20 0.1
2 1 3 25494.803631466777 0.28321275034077803 803.8357019424438 2409.51536369323 1 20 0.1
3 1 4 21546.952711195074 0.15025689420153088 804.5510904788971 3214.25262093544 1 20 0.1
4 1 5 32149.146358826256 0.11974415434623047 804.6180670261383 4019.05478501319 1 20 0.1
5 1 6 29087.35527595367 0.02841564433259935 804.2787129878998 4823.533752679825 1 20 0.1
6 1 7 31220.938994918066 0.6245150466603754 805.4130554199219 5629.147161245346 1 20 0.1
7 1 8 30691.505715695268 0.03491664045297263 804.518609046936 6433.850745916367 1 20 0.1
8 1 9 32907.21347614203 0.04896718045506973 804.2220022678375 7238.257696628571 1 20 0.1
9 1 10 29657.8695607912 0.12309950718255216 805.0296094417572 8043.473187208176 1 20 0.1
10 1 11 33376.987854373365 0.3673062808010905 804.8859751224518 8848.5855851173 1 20 0.1
11 1 12 33985.708494431965 0.07748767956380413 805.4343936443329 9654.206238269 1 20 0.1
12 1 13 35131.45566332524 0.0008388382090804236 804.3687515258789 10458.7603654 1 20 0.1
13 1 14 27945.282306088906 0.19303764286463249 804.0637845993042 11263.02549099 1 20 0.1
14 1 15 29327.07999322839 0.2938030827304184 805.7612760066986 12068.9865489006 1 20 0.1
15 1 16 32526.772801310733 0.011638880150990877 804.8601558208466 12874.0332989 1 20 0.1
16 1 17 30208.758042179852 0.06459054209919261 804.9504454135895 13679.16854405 1 20 0.1
17 1 18 31828.6238303127 0.04162734612561602 805.2109375 14484.564405918121 1 20 0.1
18 1 19 31957.97121505612 0.487155289923456 805.299562215805 15290.054656028748 1 20 0.1
19 1 20 33493.32194265187 0.29600503302925446 804.6149230003357 16094.854397773 1 20 0.1
